7,Architecture
44,Artificial Intelligence
10,Biomedicine and Health
5,Computational Biology
5,Computational Education
7,Computational Cognitive & Neuro-science
10,Computer Vision
34,Computer Systems
4,Computer Security
7,Computer Graphics
6,Data Science
17,Empirical Machine Learning
17,Human-Centered and Creative AI
3,Human-Computer Interaction (HCI)
21,Machine Learning
10,Natural Language Processing and Speech
7,Networking
6,Operating/Distributed Systems
5,Programming Systems and Verification
6,Reinforcement Learning
22,Robotics
6,Space Engineering
12,Statistical or Theoretical Machine Learning
11,Theory
,24
